003f 004f 003a 000d 000f 000d 0000 0000 0000 0055 001e 0000 0000 0005 0000 0004 002d 0021 0000 001f 0027 0000 0010 0000 0034 0000 0000 0058 000b 002d 002b 0000 0000 0000 0000 0000 0021 0000 0000 0061 001c 0000 0036 007a 0000 0000 0000 003c 007e 0000 0000 0040 0000 0001 001c 0037 0000 0000 0041 0000 0000 00ad 0000 0000 0000 0007 0002 0010 0024 0000 0000 0000 0000 0000 0027 0016 0001 0000 0000 0000 0000 0043 0008 0000 0007 0000 000d 0026 0000 0018 0000 0000 000a 0003 0002 0017 0006 001a 0036 0000 0000 0000 0014 0043 002b 0000 0000 001f 0000 001d 0019 0000 0000 0000 0010 0016 0000 000b 0000 0000 001f 0000 0010 0033 0000 0000 0000 0010 0000 0000 0042 0000 0000 0000 0028 000c 0000 0000 003c 000c 0000 001a 0035 0000 0000 0022 0000 000d 002d 0000 000e 0005 0000 002c 0033 0000 0000 0026 0053 0007 0000 0000 001d 0000 0000 0034 0000 0000 0000 0032 0016 0000 0005 0000 0000 0000 0000 001a 0014 0000 002d 0014 0000 000d 0000 0010 000f 0000 0000 0000 0018 0056 0000 0000 0000 0000 000d 0018 0011 0000 0000 0000 0000 0000 000d 000b 0000 0000 0001 0013 0000 0000 000c 0000 0008 0002 0000 0022 0009 000a 0000 0000 0000 0000 0005 001f 003d 0012 0000 0000 0000 0003 0000 000c 0015 0000 0000 0003 0000 0002 000f 0000 0010 003a 0033 0000 0000 0000 0000 0024 0023 0000 0000 0000 0010 0000 0000 0018 0040 001d 0000 0003 0028 000a 0000 0000 0000 0015 0000 0000 0000 003c 0024 0000 000f 0000 0000 0000 0009 0027 0018 0021 0000 000d 0019 0000 0000 0000 001b 000e 0000 0003 0001 0005 0000 0000 000d 0013 0000 0000 0000 006f 0029 0000 0000 0018 0000 0000 0013 0004 0000 0025 0000 0000 0018 0024 001f 0000
0013 0023 0003 0039 003d 0028 0000 0000 0016 003b 0001 003b 004f 0000 0000 0020 0052 0005 0000 0013 0057 0000 000d 0000 0000 000f 0000 007e 001d 0000 001b 000a 0000 0000 0000 0000 0002 0000 0000 0025 0012 0000 003a 007d 0000 0000 0000 000b 006f 0000 0000 0047 0004 0000 0049 0070 0000 0000 006d 0000 0000 0098 0021 0000 001f 0000 0000 0018 0026 0000 0000 0000 0000 0006 003f 0000 000f 0000 0000 0000 0000 0071 0000 0000 0000 0000 0015 0003 0000 0016 002a 0002 0000 0017 0027 0039 0000 0000 0034 0000 0002 000a 0000 003e 002c 0000 0000 0000 0000 0009 0026 0000 0000 0000 0019 0032 0000 0000 001a 0008 0000 0000 0013 0029 0000 0023 0000 0000 0000 0000 003b 0000 0000 0008 000d 0000 0000 0001 0018 0000 0000 0000 0000 000d 0000 003a 0000 0000 002f 0000 0000 000c 0000 0024 0036 0000 0000 003e 003e 0005 0000 0000 0025 0000 0000 0068 0000 0000 0011 0015 0000 0000 0000 0000 000c 000e 0000 001c 000d 0000 0014 0013 0001 0018 0000 0000 0001 0000 0000 0003 0004 004a 0000 0000 0003 0000 000f 0035 0013 0000 0000 0000 0000 0009 0009 0000 0000 0000 0013 0028 0000 0000 000c 0000 0000 000d 000c 0006 0000 0007 0049 0000 0000 0006 000f 000b 0034 0029 0000 0018 000d 0000 0000 001f 001d 0000 0000 0000 0000 0000 001a 0000 0019 0028 0000 0000 000f 0001 0000 0000 0018 000e 000c 0000 0000 0021 0000 000d 001c 0032 0017 0000 0025 0000 0000 0000 0000 000c 000c 000d 0000 0026 0030 0000 0004 0000 001e 000a 0000 001e 0017 000c 0000 0026 002e 0000 0009 0000 0000 0027 0008 0000 0000 0028 0000 0000 001f 0001 0001 0000 0000 0066 001b 0000 0000 0016 0000 0000 0000 0000 000d 002f 0016 0000 0016 0003 0000 0001
0015 0023 0000 0048 0050 0032 0000 0000 0016 0000 0008 002e 006a 0000 0000 0009 001b 0000 0000 0000 0032 0000 0037 002c 0000 0000 0004 00c0 003f 0000 0003 004d 0000 0000 0000 0000 0004 0000 0000 0016 0000 0000 007a 0059 0015 0000 0000 0002 0014 0000 0000 0014 0012 0000 004b 0082 0000 0000 0061 0000 0020 005b 000e 001d 003a 0000 0000 0002 0000 0000 0000 0010 0000 0020 0041 0000 0000 0000 0000 0000 0000 0065 0029 0000 0000 0004 0008 0000 0000 0000 002b 002d 0000 0000 0060 004e 0000 0018 004f 0000 0032 002d 0000 0018 001f 0000 0000 0000 000a 000b 0000 0000 0020 0003 000e 0045 0000 0000 0037 000b 0000 0000 001d 0035 0000 0026 0006 0000 0000 0000 0018 002e 002d 000c 0000 0000 0025 0020 0000 0000 0000 0000 0000 0015 000e 0021 0008 0000 0022 0000 0000 0000 0000 001e 001b 0000 0006 004b 0016 0000 0000 0000 0026 0000 0000 0053 0000 0000 004b 000d 0000 0000 0000 0000 0008 0025 0017 0000 0000 0000 0000 0015 0008 0000 0000 0007 000a 0000 0000 0002 0000 0035 0000 0000 001e 0000 0016 003e 0000 0000 0000 0000 0014 0022 0000 0000 0000 0000 0000 0041 000e 0000 0000 0000 0000 0000 0028 000b 0000 0006 005b 0000 0000 0000 0028 0000 0000 0046 0012 0000 0036 0000 0000 000f 0000 0008 0000 0000 0010 0000 0000 000b 003b 001f 0000 0000 0025 0012 0000 0000 0027 0000 0000 0003 0000 002f 0000 0000 0003 0026 0010 0000 0026 0000 0000 0000 000f 0013 0005 0013 0000 0023 000a 0000 0006 0000 0042 001c 0000 000c 0003 0000 003a 0016 0000 000b 000b 0000 0000 002b 0027 0000 0000 0028 0000 0000 003a 0031 0000 0000 0038 0025 0000 0000 0000 002e 0000 0000 0000 0000 0004 0022 0041 0000 0000 0000 0000 000f
0031 004a 001e 001a 003a 0044 0000 0001 0000 0000 001d 0000 0046 004b 0000 0000 0000 0000 0000 0000 0000 0000 002f 003f 0000 0003 002b 0097 0038 0000 0000 0055 0005 0000 0004 0000 0000 0000 0000 002e 0000 0007 0065 0010 0021 0000 0000 003b 0008 0000 000a 0000 0000 0000 003b 0066 0000 0000 0009 0000 001c 0006 000d 0024 001e 0000 0009 0000 0000 0000 0000 0023 0013 0025 0000 0000 0000 001f 0000 0000 0011 0027 0032 0000 0000 0061 0000 0000 0000 0000 004f 005d 0000 0012 0082 0000 0000 0038 0040 0000 0056 0036 0000 0024 0018 0000 0009 0001 0000 000c 0000 0000 001d 000c 0000 0022 0008 0000 0013 0000 0000 0000 0006 005b 0000 000c 000a 0000 0000 0000 0000 004d 002d 0000 0000 0020 0018 0010 0000 0000 0016 000f 0000 001a 0019 0019 0000 0000 0006 0006 0013 0000 0000 001d 000b 0000 000d 0029 0000 0000 0000 0000 001f 0000 0000 0018 0000 0000 0050 0007 0000 0000 000f 0003 0000 001e 000a 0000 0000 0000 0000 001f 0013 0000 0000 001f 0015 0000 0000 0000 0000 0031 0000 0000 001f 0000 0018 0043 001a 0000 0000 0009 0021 002f 0000 0000 000a 0023 0000 0032 001f 0000 0000 0000 0000 0000 000f 0019 0009 0002 0022 0008 0000 0000 002b 0019 0000 0031 0019 0000 006c 002d 0000 0000 0000 0019 0000 0000 002f 0000 0000 0025 0014 0018 0000 0000 0000 0000 0000 0011 001f 0000 0000 002d 0035 0025 001d 0000 0000 0016 0013 000f 0000 0000 0000 0000 0025 002e 000e 000f 000c 0031 0000 0000 0001 0000 001b 0032 0000 0000 0000 0008 0054 0000 0000 003c 0000 0000 0012 0029 000e 0000 000f 0019 0000 0000 004f 0051 0000 0000 003e 0016 0000 0000 001a 0052 0000 0000 0000 0002 0000 001b 003d 0000 0000 0000 0000 0000
0037 0040 0037 000e 001c 0051 0000 0000 0010 0000 0015 0000 0036 0048 0000 0000 0009 001a 0043 0012 0000 0000 0024 000e 0000 0033 002c 002a 001f 0000 0000 0046 0000 0000 0009 0000 0000 000f 0000 0015 0000 001d 0060 0000 0000 0000 0024 0053 003c 0000 000e 0033 0000 0000 0029 0027 0004 000d 0026 0000 0000 001a 0028 0000 0016 0046 0000 0000 0000 0000 0000 0000 0029 0023 0000 0000 0000 001f 0000 0000 0037 001f 0000 0000 000d 009c 0013 0000 0000 0000 003e 0031 0000 006d 004d 0000 0000 0000 0011 0000 002f 0044 0000 0012 0028 0000 003a 000b 0000 000a 0000 0000 0007 0018 0000 0000 0012 000f 0000 0000 0011 0000 0000 004e 0002 0005 001d 0000 0000 0000 0000 003a 0028 0000 0000 0023 0010 0000 0000 0000 002d 0000 0018 0033 0013 0020 0000 0000 0000 0000 0024 0033 0000 0009 0014 0019 0000 0000 0013 0017 0000 0012 0000 0000 0001 0016 0002 0000 0048 0000 0000 0016 0035 0004 0000 0003 0000 0000 002e 0000 0000 0013 0037 0000 0000 000f 002e 0000 0000 0000 0000 0022 0007 0000 0000 0000 0016 0022 0039 0004 0000 000a 0000 001e 0000 0000 0000 001f 0029 000d 0000 0000 0026 0000 0000 0028 0000 0000 0049 0029 0000 0000 0000 0000 001e 0000 000e 0013 0000 0000 0071 0013 0000 0007 0008 000a 0000 0003 000e 0000 002f 0026 0000 0036 0034 0000 0000 0000 0014 0020 0000 0000 0000 0035 0039 0027 0008 0000 0000 0025 001b 0003 0000 0000 0000 0000 0016 0000 0028 0027 0018 0048 0000 0000 0000 0000 000d 003d 0000 000f 0004 0000 0000 0000 0000 001e 000c 0000 001f 0003 0002 001d 0000 000e 0004 0000 000f 000e 000e 0000 0010 0025 0000 0000 0000 0027 0000 0000 000e 0000 0000 0034 0000 0000 0015 0000 0000 0000
0032 0037 0033 002b 0041 004d 0000 0000 0041 0000 0033 000f 0000 0004 0000 0000 0000 0034 009b 0000 0000 000a 0000 0006 001b 002d 0015 0000 0013 0000 0000 004d 0000 0000 0003 0000 0000 0048 0003 0005 0000 0016 0078 0011 0000 0000 0042 0038 001f 0000 0045 0053 0000 0000 0043 0001 0000 002a 0063 0000 0000 003a 0024 0000 0017 0013 0000 0031 0026 0000 0000 0000 0036 000e 0000 0000 000c 0019 0000 0000 0021 0023 0000 0000 003a 006b 0029 000b 0000 0000 0002 0000 0029 0079 0000 0000 0000 0000 0000 0000 0000 002b 0015 0000 0038 0000 0023 0011 0000 0000 000b 0013 0008 000b 0008 0000 001a 0000 0000 0000 000e 0000 0000 001e 002c 000d 0012 0000 0000 0000 0000 001a 0025 0000 0000 0004 001e 0000 0000 002f 0029 0000 0027 0038 0001 0000 0000 0005 0000 0000 002a 0047 0000 0006 002d 0000 0000 0000 0017 0018 0013 0027 0000 0000 0007 0014 0017 0000 0042 0000 0000 004b 002d 000e 000e 0000 0000 0000 0033 001b 0000 0007 003e 0000 0000 0000 0034 0000 0000 0000 0000 0016 002b 0000 0000 0000 000e 0000 0008 000f 0011 0017 0000 0000 001a 0000 0000 0004 0028 0000 0000 002a 004b 0000 0000 0001 0000 0000 0061 005b 0000 0000 0000 0041 001b 0000 0021 0005 0000 0000 0056 0000 0000 0030 001b 0006 0010 0008 0000 0000 0056 0002 0000 0040 002d 0000 0000 0000 0017 0033 000c 0000 0000 0000 0000 002f 0014 0000 0008 0029 0000 0006 0000 0000 0000 0000 0000 0000 000d 0028 0017 0057 0000 0000 000a 002e 0026 0021 0000 0016 0004 0000 0006 000f 0000 0000 001e 0000 002c 0000 0000 0046 0000 0000 0028 0000 0000 0000 000c 0028 000a 0003 0000 000d 0000 0000 0015 0018 0023 000d 0000 0027 0000 0000 0013 0000 0000 0000
0037 004e 0026 0025 0062 0025 0000 0000 0056 0014 0043 000b 0000 0000 0026 002f 0000 003b 0069 0000 001b 0000 0000 0045 004a 0010 0015 0000 000b 0000 0014 004f 0000 0000 0000 0000 001e 0024 0000 0022 0000 0000 0020 006c 000b 0000 0030 0055 0000 0000 006b 001f 0000 0000 0037 0000 0000 0043 0053 0000 0000 0024 0023 0000 0005 0000 0000 0051 0030 0000 0000 0000 0012 000a 0000 0000 003c 0024 000b 0000 0000 0000 0000 0000 001c 001b 000d 0002 0000 0037 001c 0000 0016 002a 0000 001a 0052 0001 0003 0000 0000 0011 0007 0008 003d 0000 0000 0012 0000 0013 000e 001c 0000 0002 0000 0000 001e 0000 0000 001b 0000 0000 0000 0004 0031 0010 0000 0000 0000 0000 000d 0002 0012 0000 0000 000e 0014 0000 0000 0045 001f 0000 0010 0011 000f 0000 000d 0053 0000 0000 002f 0000 0000 003f 0030 0000 0000 0000 0000 000d 0029 0015 0000 0000 0000 0006 0024 0000 0019 0000 0000 005a 0013 001d 0027 0000 0000 0017 0021 0013 0006 0000 0004 0002 0011 0000 0015 0000 0000 0000 0000 000d 0028 0000 0000 0042 0000 0000 0000 0000 000f 0026 0000 0004 000a 0000 0022 0000 0006 0000 0000 0037 003d 0000 0000 0000 0012 0000 005b 0059 0000 0007 0006 001e 0019 0000 0024 0018 0000 0000 0048 0026 0000 0005 0000 000c 0032 0000 0000 0000 0035 0014 0000 0027 0013 0000 0000 0000 002b 0050 0001 0000 0000 0000 0000 0016 0022 0000 0016 0022 0000 0002 0007 0000 0003 000b 0000 0000 0000 0000 0000 0037 0027 0000 002e 0043 0000 002c 0000 0000 0000 001f 0024 0000 0000 001f 000d 0000 0013 0017 0000 0029 001f 0000 0000 0000 0001 0000 0000 003a 0002 0000 0000 0011 0000 0000 000b 0000 0002 0024 0000 0017 0023 0001 0000 0000 0000 0000
0037 002c 0023 0004 004f 0022 0000 002e 0048 0017 0019 0009 0000 0000 0042 0044 0000 002e 0000 0000 0024 0000 0000 0042 0048 001c 002b 0000 000e 0000 0000 005f 0027 0000 0000 0012 0000 0022 0000 001c 001b 0000 0000 007e 0000 0000 003e 0075 0000 0000 0059 0000 0000 0000 0000 0000 0000 0030 0055 0000 0000 0019 0003 0000 0002 0000 0000 003e 0021 0011 0000 0000 0000 0028 0008 0000 0026 0000 002a 0000 0000 0004 002b 0039 0010 0000 0003 0000 0000 007f 004d 0000 0000 0000 0000 003d 006b 0014 0000 0000 0000 0026 0000 0000 001e 0000 0005 0000 0023 0035 0000 0013 0023 0009 0000 0000 0003 0009 0009 0019 0014 0000 0007 0000 0000 0010 0000 000c 0000 0010 001f 0000 0000 0000 0000 0014 0008 0000 0000 002c 0005 0000 0000 0003 003a 0000 0000 004b 0000 0000 0004 0000 0023 0056 0000 0000 0000 0014 0000 000b 0025 0012 0000 000a 0000 0005 002a 0000 0000 0000 002e 003b 0000 0006 002f 0000 0000 0012 0024 001f 0009 0000 0000 001a 0014 0000 000e 0000 0000 0000 0000 002b 0032 0000 000c 007b 0000 0000 0000 0000 0000 0000 0014 0013 0000 000b 0013 0000 000f 0000 0000 0010 0000 0000 0000 000e 002a 0000 0046 0029 0000 0019 0000 0000 002c 0000 0027 002f 0000 0000 0049 0046 000f 0000 0000 0031 0057 0000 0000 0000 001f 0026 0000 001e 0013 0000 0000 0000 0031 004c 0000 0000 0000 0007 0017 0000 0000 0007 001e 001c 0000 0000 0000 0000 0000 002b 002e 0009 0000 0000 0000 0002 0053 0000 0016 0050 0000 0053 0000 0000 0026 001b 0000 0000 0000 0036 001e 0000 0000 0031 0000 0000 002f 002e 0000 000d 0016 0000 0035 0019 0000 0000 0029 000c 0000 0008 0000 0000 0004 0012 0000 001e 0027 0000 0000 0000 0000 0000
001b 001c 003d 0000 0030 0060 003f 0044 0000 0000 0000 0015 0041 0000 000d 0035 0000 0000 000a 0000 0000 0000 002c 0000 0000 0074 0021 0000 0000 0000 0000 0051 0079 0000 0000 002b 0000 0000 002d 001c 0043 0000 0026 0064 0000 0000 0046 0055 0000 0004 0075 0000 0000 003e 0000 0000 000f 0024 0023 000b 0000 001d 0000 0000 0000 0000 001f 004d 0000 0000 0003 0000 0000 0007 0000 0000 0000 0001 003e 0000 0000 0027 0055 006b 002c 0000 000e 0000 0000 0079 0013 0016 0016 0000 0000 0032 004e 001d 0000 0000 0000 003b 0000 0000 0017 0017 0002 0000 002b 002c 0000 0013 003f 0000 0000 0000 0000 0000 0009 0021 0034 0000 0007 0000 0000 0003 0019 0014 0000 0013 002b 0000 0000 0000 0015 000f 0004 0000 0000 0025 0001 0000 0000 000d 0038 0000 0000 002c 0015 0000 0000 0010 0039 0027 0000 0000 0005 004d 000c 0000 000d 0023 0011 0000 0000 000a 0025 0000 0000 000a 0035 003e 0000 0000 0036 0000 0000 0000 0021 0023 0000 0000 0000 002e 0000 0000 0022 0000 0000 0000 0000 0054 003e 0000 0011 0057 0022 0000 0000 0016 0000 0000 002e 000e 0000 003a 0000 000e 0033 0000 0000 0024 0000 0000 0000 0043 000a 0000 003c 0008 0000 0021 0000 0000 0028 002a 0020 0000 0000 0000 0029 0050 002e 0000 0000 0047 0060 0000 0000 0000 001b 0000 0000 0020 0004 0000 0000 0000 002a 0040 0009 0000 0000 0003 0052 0000 0000 003b 000e 0000 001a 0000 0000 0000 0000 004a 0059 0019 0000 0028 0000 0000 0055 0000 0000 0055 0007 0054 0005 0000 0034 0000 0000 0000 0000 0028 003f 0000 000e 004e 0003 0000 001c 0045 0000 0002 0031 0000 003d 0018 0000 0009 0052 0000 0000 000c 0000 0000 001d 0000 0000 0028 0008 0000 0002 0018 0000 0000
0000 003c 005e 0000 001d 0040 0052 0053 0000 0000 0000 001f 0064 0014 0000 0030 0000 0000 0066 0022 0000 0000 004b 0000 0000 00b3 000a 0000 0000 0000 0000 0032 0047 0000 0000 0000 0000 0000 0000 0000 0052 0008 002b 002b 0000 0000 0049 0027 0000 0005 0083 0000 0000 001a 0014 0000 0040 003d 0000 0000 002b 0048 0000 0000 0000 0000 0031 0040 0000 0000 0037 0038 0000 0000 0000 0000 000f 0046 0015 0000 0000 0002 000d 0061 0030 0000 0055 0000 0000 0050 0000 0035 003d 0000 0000 003f 0025 0005 004d 0000 0000 0034 0000 0000 000a 002c 0007 0000 0006 001f 0000 0014 0010 0000 000c 0030 000b 0000 0000 000e 0040 0000 0000 0000 0000 0000 000e 0002 0000 000a 0020 0000 0000 0000 0020 0005 0000 001b 0000 000b 0034 0000 0000 000e 0000 0000 0000 000e 003a 0000 0000 0014 001d 0001 0000 0000 000d 003c 000f 0000 000c 0021 0000 0000 0000 0002 000c 0000 0000 0016 003e 0038 0000 0000 0037 0007 0000 0001 0006 0000 0010 000a 0000 0003 0000 0000 0016 0000 0005 0001 0000 0037 0037 000b 0006 001b 0020 0000 0000 0017 0000 0000 0037 0030 0000 0018 0000 0000 004f 0000 000d 0052 0000 0000 0000 0051 0000 0000 0012 0000 0000 002b 0000 0000 0000 0054 001e 0000 0000 0000 0008 0049 0027 0000 0000 0022 002c 0000 0000 0005 0014 0000 0000 001f 0000 0000 0016 0000 000b 0022 001a 0000 0000 0000 002e 0000 0000 0037 0008 0000 0020 0000 0000 0005 0017 0038 0034 002f 0000 003a 0000 0000 004e 0000 0000 000a 000b 005f 0000 0000 0040 0002 0000 0000 0000 002b 0051 0000 000a 0050 0000 0000 0009 003d 0000 0000 006f 0000 0000 0000 0000 0030 0048 0000 0000 0005 0016 0000 0025 0000 0000 002d 0000 0000 0000 0000 0000 0000
0013 0032 0048 000e 0023 0000 002d 0059 0000 0000 000d 002d 0021 000b 0007 0034 0000 0000 003f 0045 0000 0000 001e 002a 0009 006e 0000 0000 0008 0000 0000 0021 0000 000f 003a 0000 002c 007f 0000 0000 0019 004f 0024 0029 0000 0000 0039 001c 0000 0000 005b 003f 0000 0000 0046 0000 003a 0013 0000 0000 004d 004c 0019 0000 0000 001f 0000 0026 0000 0000 0064 003e 0000 0000 0000 0000 0000 004d 0000 0000 000e 0008 0000 000f 004a 0000 0049 0000 0000 0045 0000 0037 0000 0000 0000 002f 0022 0000 0067 0000 0000 0035 001e 0000 0000 0001 001f 0000 0000 0010 0000 0011 0001 000c 0000 001f 004c 0003 0000 0000 0032 000e 0000 0005 0000 0000 0000 0009 0000 0002 0000 0000 0023 0019 0000 0000 0005 0026 0000 0000 005b 0026 0000 0000 0000 0000 0000 0011 0028 0000 0016 0000 0000 0000 0000 0017 000a 000d 001d 0000 000f 0020 0000 0000 0000 0019 0000 0000 0000 0017 0045 001e 0000 0000 0013 0000 0002 0015 0000 0000 0040 001e 0000 0000 0000 0000 0010 0026 0000 0000 002a 000c 001e 0016 0000 0021 000a 0000 0009 0014 0000 0000 001f 0024 0007 001b 0000 0000 0025 0000 0017 004f 0000 0000 0000 0053 001d 0000 0000 0000 0014 0025 0007 0000 000a 001c 0000 0000 0000 0000 0021 0000 0008 0000 0005 0000 000b 0012 0000 0000 0000 0008 0000 0013 000d 0000 0006 0031 0000 0000 001a 0000 0000 0000 0000 0000 0002 001c 0025 001b 0019 0000 0000 0018 0028 000b 000f 002c 0000 0041 0000 0000 0015 0000 0010 0000 0017 006e 0000 0000 0034 000b 0000 0000 0000 001e 0072 0000 0000 0000 0000 0014 0028 0031 0000 0000 0091 0000 0000 0000 0000 003e 0042 0000 0000 0000 0000 0022 0057 0000 0000 0022 0018 0000 0000 0000 0000 002d
