0000000000000000000000000022951c 00000000000000000000000000dea028 000000000000000000000000012390ab 00000000000000000000000002936572 0000000000000000000000000287e52a 00000000000000000000000001bbcb68 00000000000000000000000001306895 000000000000000000000000000e1047 00000000000000000000000000000000 00000000000000000000000000000000
0000000000000000000000000069c9c4 0000000000000000000000000047b1c9 00000000000000000000000001942581 000000000000000000000000035f13a0 00000000000000000000000004d0b20f 0000000000000000000000000524ab42 0000000000000000000000000272b58c 00000000000000000000000000fd3d8c 0000000000000000000000000020322b 00000000000000000000000000000000
00000000000000000000000000371dee 00000000000000000000000000000000 0000000000000000000000000219f0df 00000000000000000000000003c7ff42 000000000000000000000000059557a9 00000000000000000000000005c257db 00000000000000000000000003fba6b8 00000000000000000000000001e1ca7a 00000000000000000000000000c09dc5 0000000000000000000000000004a3a6
000000000000000000000000000a487b 00000000000000000000000001cb91a3 0000000000000000000000000391546f 00000000000000000000000004ffe9ef 00000000000000000000000005c52e97 00000000000000000000000005301fc8 00000000000000000000000004831884 00000000000000000000000002b8b645 00000000000000000000000000fffb20 00000000000000000000000000000000
00000000000000000000000000000000 00000000000000000000000001e9c3ef 0000000000000000000000000395e0b0 000000000000000000000000051a9916 00000000000000000000000005317bd7 00000000000000000000000005872361 000000000000000000000000055cbb89 000000000000000000000000041ade01 0000000000000000000000000106906e 0000000000000000000000000031f1c7
00000000000000000000000000129ce2 000000000000000000000000007e7bbe 00000000000000000000000001400dfd 00000000000000000000000003f078cc 000000000000000000000000035a6e70 00000000000000000000000004801b76 0000000000000000000000000538657e 00000000000000000000000004369cdf 0000000000000000000000000162ad9e 00000000000000000000000000cfd1cd
000000000000000000000000002f1267 0000000000000000000000000049f4e6 0000000000000000000000000178932a 0000000000000000000000000349ba38 000000000000000000000000036a414a 00000000000000000000000002f1ee53 00000000000000000000000003215db7 00000000000000000000000003b6e8bd 0000000000000000000000000293aadf 000000000000000000000000011fa19e
0000000000000000000000000037e284 0000000000000000000000000059859b 000000000000000000000000010b3f49 00000000000000000000000001b5ac9c 000000000000000000000000017acf59 00000000000000000000000000ca2b9b 00000000000000000000000001bd6ab2 00000000000000000000000003269e86 00000000000000000000000003e2e521 0000000000000000000000000150a435
0000000000000000000000000008d835 000000000000000000000000003ad400 000000000000000000000000003abdad 0000000000000000000000000029dbec 000000000000000000000000006d8323 0000000000000000000000000026323e 00000000000000000000000000a3412d 0000000000000000000000000214fe7b 000000000000000000000000036def2c 000000000000000000000000026057fb
00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000000000000 000000000000000000000000000ba30d 00000000000000000000000000335b82 00000000000000000000000000442732 00000000000000000000000001368bdf 000000000000000000000000027b48d3 00000000000000000000000002e7fc45
