00000000000000000000000000000000 00000000000000000000000000000000 000000000000000000000000027340b8 000000000000000000000000063b4353 00000000000000000000000005bb6ccd 0000000000000000000000000222051c 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000000000000
00000000000000000000000000000000 000000000000000000000000005b3435 000000000000000000000000031ab398 0000000000000000000000000643b197 000000000000000000000000042955c2 00000000000000000000000000815c1b 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000000000000
00000000000000000000000000000000 00000000000000000000000001abee04 000000000000000000000000046beda1 0000000000000000000000000419e563 00000000000000000000000001e7c2bb 0000000000000000000000000064ef71 00000000000000000000000000b050f0 00000000000000000000000000a13562 00000000000000000000000000525268 000000000000000000000000000cec40
00000000000000000000000000000000 000000000000000000000000019ccf04 00000000000000000000000003b9297d 000000000000000000000000030ef8f3 00000000000000000000000000faba77 000000000000000000000000012c1ee7 00000000000000000000000001b05665 00000000000000000000000001907dff 00000000000000000000000001098b80 0000000000000000000000000075e600
00000000000000000000000000000000 000000000000000000000000015b538b 000000000000000000000000034d6d5a 00000000000000000000000002ec9730 0000000000000000000000000272e2b6 00000000000000000000000000f9aa74 00000000000000000000000000000000 000000000000000000000000002a27bf 0000000000000000000000000035d1eb 00000000000000000000000000416719
000000000000000000000000005c2809 00000000000000000000000001ff3aef 000000000000000000000000043d05fa 000000000000000000000000037fb5fb 00000000000000000000000001843c33 0000000000000000000000000067ced5 0000000000000000000000000015522f 0000000000000000000000000028080f 000000000000000000000000004dd038 00000000000000000000000000000000
000000000000000000000000006ceb07 00000000000000000000000001d1df85 00000000000000000000000002f29f60 000000000000000000000000016f333c 00000000000000000000000000000000 00000000000000000000000002095f2b 00000000000000000000000004f4548e 0000000000000000000000000426f276 00000000000000000000000000ecc042 00000000000000000000000000000000
00000000000000000000000000427030 0000000000000000000000000132d509 00000000000000000000000001440280 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000003abfaba 0000000000000000000000000757469d 000000000000000000000000044da637 00000000000000000000000000299a30 00000000000000000000000000000000
00000000000000000000000000073119 00000000000000000000000000bb4714 00000000000000000000000001603742 00000000000000000000000000f3e618 00000000000000000000000001467652 0000000000000000000000000274f363 0000000000000000000000000292a023 0000000000000000000000000152bcd3 00000000000000000000000000000000 00000000000000000000000000000000
00000000000000000000000000000000 0000000000000000000000000011332e 00000000000000000000000000f5676c 0000000000000000000000000181b95c 00000000000000000000000000e8f35f 0000000000000000000000000091a38e 000000000000000000000000006a1757 0000000000000000000000000044b12d 0000000000000000000000000040d580 00000000000000000000000000000000
