00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000000003f36 0000000000000000000000000008a096 0000000000000000000000000003b47b 00000000000000000000000000005fb6 00000000000000000000000000013f2c 000000000000000000000000000025d2 00000000000000000000000000000000
00000000000000000000000000000000 00000000000000000000000000000000 0000000000000000000000000006ad10 0000000000000000000000000009a54d 00000000000000000000000000040484 00000000000000000000000000000000 00000000000000000000000000000000 000000000000000000000000000210aa 0000000000000000000000000001f6bc 00000000000000000000000000000000
000000000000000000000000000207bd 00000000000000000000000000017a5e 000000000000000000000000000295a4 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000000047088 00000000000000000000000000013041 00000000000000000000000000000000
00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000000034b20 0000000000000000000000000004e4bb 00000000000000000000000000000000 00000000000000000000000000000000
00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000000000000 000000000000000000000000000262dd 0000000000000000000000000004b63f 0000000000000000000000000001690e 00000000000000000000000000000000 00000000000000000000000000000000
00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000000000000 0000000000000000000000000003aaf4 0000000000000000000000000002e72c 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000000000000
00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000000000000 0000000000000000000000000001d462 0000000000000000000000000001cc9d 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000000000000
00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000000000000
00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000000000000 000000000000000000000000000384a6 00000000000000000000000000080a1d 000000000000000000000000000b997a
000000000000000000000000000224c9 00000000000000000000000000045b75 0000000000000000000000000008fe82 000000000000000000000000000db405 000000000000000000000000000fd215 0000000000000000000000000010707d 00000000000000000000000000126de1 00000000000000000000000000128ffb 00000000000000000000000000100200 0000000000000000000000000009aeff
